Plot,Date collected,Sex,Species,Weight (g),,
2,2013-07-16,F,,,,
7,2013-07-16,M,,33g,,
3,2013-07-16,M,,,,
1,2013-07-16,M,,,,
3,2013-07-18,M,,40g,,
7,2013-07-18,M,,48g,,
4,2013-07-18,F,,29g,,
6,2013-07-18,F,,37g,,
8,2013-08-19,F,,52,,
3,2013-10-17,F,,33,,
3,2013-10-17,F,,50,,
9,2013-11-12,F,,117,,
11,2013-11-13,F,,126,,
17,2013-11-13,M,,,,
14,2013-11-13,F,,,,
11,2013-11-13,F,,122,,
4,2013-11-13,F,,107,,
4,2013-11-13,F,,115,,
9,2013-12-10,F,,40,,
1,2013-12-10,M,,45,,
8,2013-12-11,F,,41,,
2,2014-01-08,,NA,,,
2,2014-01-08,M,DM,44,,
2,2014-01-08,F,PF,7,,
2,2014-01-08,M,DM,45,,
2,2014-01-08,,OT,,,
2,2014-01-08,M,DS,,,
2,2014-01-08,,OX,,,
4,2014-01-08,F,DM,37,,
4,2014-01-08,M,DM,,,
4,2014-01-08,F,DM,48,,
4,2014-01-08,M,DO,52,,
4,2014-01-08,M,OL,35,,
1,2014-01-09,M,DM,40,,
1,2014-01-09,F,DM,36,,
2,2014-02-18,M,NA,,,
2,2014-02-18,F,PF,7,,
2,2014-02-18,M,DM,52,,
3,2014-03-11,M,PF,8,,
1,2014-03-13,F,DM,51,,
1,2014-03-13,F,DM,44,,
1,2014-03-13,F,DS,146,,
3,2014-04-08,F,NA,,,
3,2014-05-18,F,NA,182,,
3,2014-06-09,F,OT,29,,
3,2014-07-08,F,NA,115,,
3,2014-07-08,M,NA,190,,